date,indexed_projects,held_projects,total_projects,titles
2026-05-09,1,0,1,Slime: Friendship Bloom
2026-05-10,1,0,1,Exile Cut
2026-05-11,1,0,1,The Wonderful Adventures of Trygve Aas
2026-05-12,0,0,0,
2026-05-13,0,0,0,
2026-05-14,1,0,1,Aft of Nowhere
2026-05-15,1,0,1,The Author Was Already Dead
2026-05-16,0,0,0,
2026-05-17,0,0,0,
2026-05-18,1,0,1,Brain Blossom Atlas Bound
2026-05-19,0,0,0,
2026-05-20,0,0,0,
2026-05-21,0,0,0,
2026-05-22,0,1,1,Mature Water
2026-05-23,0,0,0,
2026-05-24,1,0,1,The Symposium
2026-05-25,3,0,3,The Resilient Life; The Long Feast; Hendane
2026-05-26,0,0,0,
2026-05-27,0,0,0,
2026-05-28,1,0,1,Anonymous Contours
2026-05-29,1,0,1,I LOVE SMORKY
2026-05-30,0,0,0,
2026-05-31,0,0,0,
2026-06-01,0,0,0,
2026-06-02,0,0,0,
2026-06-03,0,0,0,
2026-06-04,0,0,0,
2026-06-05,0,0,0,
2026-06-06,0,0,0,
2026-06-07,1,0,1,Concerning Rights and Clauses
2026-06-08,0,0,0,
2026-06-09,0,0,0,
2026-06-10,0,0,0,
2026-06-11,0,0,0,
2026-06-12,1,0,1,An Almost Moist Post-Post-Everything
2026-06-13,0,0,0,
2026-06-14,1,0,1,Dissolution Disequilibrium
2026-06-15,1,0,1,Thecompulsionloop: My Job Working for a Dictator as Chief Engagement Enhancement Officer
2026-06-16,0,0,0,
2026-06-17,0,0,0,
2026-06-18,0,0,0,
2026-06-19,0,0,0,
2026-06-20,1,0,1,Project A-0
2026-06-21,0,0,0,
2026-06-22,0,0,0,
2026-06-23,0,0,0,
2026-06-24,0,0,0,
2026-06-25,1,0,1,Upboarding Hour
2026-06-26,1,0,1,The First Water Molecule
2026-06-27,0,0,0,
2026-06-28,0,0,0,
2026-06-29,0,0,0,
2026-06-30,0,0,0,
2026-07-01,1,0,1,cussinct
2026-07-02,0,0,0,
2026-07-03,0,0,0,
2026-07-04,0,0,0,
2026-07-05,0,0,0,
2026-07-06,0,0,0,
2026-07-07,0,0,0,
2026-07-08,1,0,1,Adjunct: Our Internal
2026-07-09,0,0,0,
2026-07-10,0,0,0,
2026-07-11,0,0,0,
2026-07-12,0,0,0,
2026-07-13,0,0,0,
2026-07-14,0,0,0,
2026-07-15,0,0,0,
2026-07-16,0,0,0,
2026-07-17,0,0,0,
2026-07-18,0,0,0,
2026-07-19,1,0,1,In Our Image
2026-07-20,2,0,2,Open Loops; The Green Interregnum
2026-07-21,0,0,0,
2026-07-22,0,0,0,
2026-07-23,0,0,0,
2026-07-24,0,0,0,
2026-07-25,1,0,1,The Chute
2026-07-26,0,0,0,
2026-07-27,0,0,0,
2026-07-28,0,0,0,
2026-07-29,0,0,0,
2026-07-30,1,0,1,Interim Edge
2026-07-31,0,1,1,Alpha-Gaia
2026-08-01,0,0,0,
2026-08-02,0,0,0,
2026-08-03,0,0,0,
2026-08-04,0,0,0,
2026-08-05,0,0,0,
2026-08-06,0,0,0,
2026-08-07,0,0,0,
2026-08-08,0,0,0,
2026-08-09,0,0,0,
2026-08-10,0,0,0,
2026-08-11,0,1,1,Vetch
2026-08-12,0,0,0,
2026-08-13,0,0,0,
2026-08-14,0,0,0,
2026-08-15,0,0,0,
2026-08-16,0,0,0,
2026-08-17,0,0,0,
2026-08-18,0,0,0,
2026-08-19,0,0,0,
2026-08-20,0,0,0,
2026-08-21,0,0,0,
2026-08-22,0,0,0,
2026-08-23,0,1,1,Chauffé Éclairé
2026-08-24,0,0,0,
2026-08-25,0,0,0,
2026-08-26,0,0,0,
2026-08-27,0,0,0,
2026-08-28,0,0,0,
2026-08-29,0,0,0,
2026-08-30,0,0,0,
2026-08-31,0,0,0,
2026-09-01,0,0,0,
2026-09-02,0,0,0,
2026-09-03,0,0,0,
2026-09-04,1,0,1,Impossible Persistent
2026-09-05,0,0,0,
2026-09-06,0,0,0,
2026-09-07,1,0,1,Mouth on Loan
2026-09-08,1,0,1,Machine Liberation
2026-09-09,1,0,1,Babbies
2026-09-10,0,0,0,
2026-09-11,0,0,0,
2026-09-12,1,0,1,The Appointment · You.inc
2026-09-13,0,0,0,
2026-09-14,0,0,0,
2026-09-15,0,0,0,
2026-09-16,0,0,0,
2026-09-17,1,0,1,The Warmest Cold
2026-09-18,0,0,0,
2026-09-19,0,0,0,
2026-09-20,0,0,0,
2026-09-21,0,0,0,
2026-09-22,0,0,0,
